# frame,type,x,y
13168,Alien1,716,450
13229,Alien1,716,350
13230,Alien1,716,150
13319,Alien1,716,450
13380,Mage,716,266
13476,Mage,716,150
13501,Mage,716,300
13560,Alien2,716,400
13593,PowerUp-Heal,716,250
13664,Alien2,716,250
13740,Alien2,716,500
13814,Alien2,716,300
13905,Obstacle,716,50
13906,Obstacle,716,100
13907,Obstacle,716,200
13908,Obstacle,716,350
13909,Obstacle,716,0
13910,Obstacle,716,250
13911,Obstacle,716,150
13919,Obstacle,716,300
14100,Alien1,716,500
14101,Alien1,716,560
14102,Alien1,716,260
14159,Mage,716,300
14224,Mage,716,200
14259,Mage,716,400
14303,Mage,716,250
14373,Mage,716,150
14414,Mage,716,300
14487,Mage,716,400
14508,Mage,716,200
14674,PowerUp-Heal,716,300
14712,PowerUp-SpeedUp,716,300
14913,PowerUp-SplitShot,716,300
15100,PowerUp-Heal,716,239
15220,PowerUp-Heal,716,350
15331,PowerUp-BigShot,716,300
15536,PowerUp-Heal,716,250
15591,PowerUp-Heal,716,350
16200,Boss,716,250
16304,Alien1,716,100
16346,Alien1,716,450
16428,Alien1,716,200
16459,PowerUp-Heal,716,400
16471,Alien1,716,50
16559,Mage,716,400
16726,Alien1,716,400
16750,Alien1,716,200
16827,PowerUp-Heal,716,150
16879,Mage,716,100
16936,Alien1,716,350
16996,Alien1,716,100
16997,Mage,716,450
17096,PowerUp-Heal,716,400
17278,Mage,716,100
